WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
3910008-002,2.9,AS,2/7/2007,UG/L,,UNK,38.1614589,-121.166848,MUNICIPAL,,126,128,DHS,3910008-002,WELL 02
3901282-003,5,AS,1/9/2013,UG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3901282-003,5,AS,4/7/2005,UG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3900561-007,5,AS,5/11/2016,UG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,0,10,DHS,3900561-007,WELL #2
3901282-009,5,AS,1/5/2006,UG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3910008-006,2,AS,2/9/2016,UG/L,,UNK,38.1614589,-121.166848,MUNICIPAL,,,,DHS,3910008-006,WELL NO. 02R
3410011-015,6.3,AS,4/20/2010,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,4.7,AS,10/1/2003,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,8.3,AS,7/7/2015,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3901217-001,2,AS,7/17/2002,UG/L,,UNK,38.4511919,-121.206464,MUNICIPAL,,0,0,DHS,3901217-001,WELL
3410011-011,6.9,AS,12/28/2004,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,175,DHS,3410011-011,WELL 11 - CREEKSIDE - RAW
3901075-002,11.3,AS,3/12/2003,UG/L,,UNK,38.1614589,-121.325312,MUNICIPAL,,100,10,DHS,3901075-002,WELL #2 (STANDBY)
3901075-002,7,AS,12/30/2014,UG/L,,UNK,38.1614589,-121.325312,MUNICIPAL,,100,10,DHS,3901075-002,WELL #2 (STANDBY)
