WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
3900561-007,0.5,CR6,11/19/2014,UG/L,<,UNK,38.1614589,-121.285696,MUNICIPAL,,0,10,DHS,3900561-007,WELL #2
3400229-001,0,CR6,2/14/2019,UG/L,<,UNK,38.2194055,-121.008384,MUNICIPAL,,0,27,DHS,3400229-001,MAIN WELL G-14
3910017-007,0.72,CR6,9/9/2014,UG/L,,UNK,38.1614589,-121.325312,MUNICIPAL,,131,60,DHS,3910017-007,WELL 07
5000141-004,4.8,CR6,10/9/2014,UG/L,,UNK,37.6978861,-121.008384,MUNICIPAL,,50,180,DHS,5000141-004,WELL #3  (COLD STORAGE)
2410001-019,1.6,CR6,12/19/2001,UG/L,,UNK,37.3791798,-120.612224,MUNICIPAL,,485,175,DHS,2410001-019,WELL 19
2410008-004,3.2,CR6,2/12/2002,UG/L,,UNK,37.3212332,-120.532992,MUNICIPAL,,0,101,DHS,2410008-004,WELL 04
2410008-004,4,CR6,8/14/2012,UG/L,,UNK,37.3212332,-120.532992,MUNICIPAL,,0,101,DHS,2410008-004,WELL 04
2410009-022,3,CR6,7/18/2001,UG/L,,UNK,37.3212332,-120.45376,MUNICIPAL,,0,135,DHS,2410009-022,WELL 07C
5000433-001,1.6,CR6,8/4/2014,UG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,323,42,DHS,5000433-001,COUNTRY CLUB ESTATES WELL NO. 01
5000433-001,2,CR6,2/8/2017,UG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,323,42,DHS,5000433-001,COUNTRY CLUB ESTATES WELL NO. 01
2010002-019,1.1,CR6,5/30/2002,UG/L,,UNK,36.9735536,-120.0576,MUNICIPAL,,0,560,DHS,2010002-019,WELL 23 - RAW
5010042-002,0.1,CR6,11/19/2013,UG/L,<,UNK,37.6399395,-120.731072,MUNICIPAL,,,,DHS,5010042-002,WELL NO. 02 - RAW - GRNSD - FE&MN
2410009-023,2,CR6,7/25/2001,UG/L,,UNK,37.2922599,-120.45376,MUNICIPAL,,0,80,DHS,2410009-023,WELL 02C - RAW
5010018-010,3.2,CR6,3/26/2012,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,,,DHS,5010018-010,WELL 10
5010018-010,3.3,CR6,10/10/2016,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,,,DHS,5010018-010,WELL 10
5010018-010,3.9,CR6,10/20/2014,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,,,DHS,5010018-010,WELL 10
5010018-010,3,CR6,11/12/2015,UG/L,,UNK,37.7268594,-120.968768,MUNICIPAL,,,,DHS,5010018-010,WELL 10
5010005-008,2,CR6,2/12/2001,UG/L,,UNK,37.7268594,-121.087616,MUNICIPAL,,240,120,DHS,5010005-008,WELL 298
5000055-002,1.7,CR6,5/20/2003,UG/L,,UNK,37.6978861,-120.929152,MUNICIPAL,,100,40,DHS,5000055-002,WEST FIELD
