WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
AGC100012333-SJCDW00028,6.15,DO,10/24/2018,MG/L,=,0,37.81359,-121.0967,UNK,,,,AGLAND,SJCDW00028,SJCDW00028
T0609900374-MW-5,2.8,DO,11/8/2002,MG/L,=,1,37.5516949,-120.9101607,MONITORING,,,,EDF,MW-5,MW-5
T0607715874-MW1A,3.12,DO,11/14/2013,MG/L,=,1,37.9560902,-121.2894471,MONITORING,39.65,,,EDF,MW1A,MW1A
T0609900374-MW-6,4.4,DO,11/8/2002,MG/L,=,1,37.5516268,-120.9099971,MONITORING,,,,EDF,MW-6,MW-6
T0607700888-MW-6,2.6,DO,2/12/2003,MG/L,=,1,37.9543569,-121.2708652,MONITORING,,,,EDF,MW-6,MW-6
AGC100012331-ESJQC00012,4.2,DO,10/30/2018,MG/L,=,0,36.92869,-120.0916,UNK,,,,AGLAND,ESJQC00012,ESJQC00012
T0607700888-MW-10,6.79,DO,1/14/2003,MG/L,=,1,37.9545345,-121.2706364,MONITORING,,,,EDF,MW-10,MW-10
AGC100012333-SJCDW00024,5.78,DO,11/13/2018,MG/L,=,0,37.7732,-121.20935,UNK,,,,AGLAND,SJCDW00024,SJCDW00024
T0607700888-MW-1,4.4,DO,5/19/2003,MG/L,=,100,37.9543877,-121.2709658,MONITORING,,,,EDF,MW-1,MW-1
AGC100012333-SJCDW00013,2.08,DO,11/5/2018,MG/L,=,0,37.9446,-121.16403,UNK,,,,AGLAND,SJCDW00013,SJCDW00013
AGC100012333-SJCDW00026,7.39,DO,10/24/2018,MG/L,=,0,37.79243,-121.10765,UNK,,,,AGLAND,SJCDW00026,SJCDW00026
AGC100012333-SJCDW00027,2.68,DO,10/24/2018,MG/L,=,0,37.75469,-121.10248,UNK,,,,AGLAND,SJCDW00027,SJCDW00027
T0607700046-MW3,6.1,DO,2/21/2012,MG/L,=,1,37.9296573,-121.2286398,MONITORING,,,,EDF,MW3,MW3
T0607700888-MW-4,1.21,DO,2/12/2003,MG/L,=,1,37.9544987,-121.2708282,MONITORING,,,,EDF,MW-4,MW-4
AGC100012333-SJCDW00041,6.19,DO,10/22/2018,MG/L,=,0,37.9058,-121.7051,UNK,,,,AGLAND,SJCDW00041,SJCDW00041
T0607700888-MW-9,12.4,DO,2/12/2003,MG/L,=,1,37.9544511,-121.2705521,MONITORING,,,,EDF,MW-9,MW-9
AGC100012333-SJCDW00007,4.89,DO,10/25/2018,MG/L,=,0,38.01483,-121.25752,UNK,,,,AGLAND,SJCDW00007,SJCDW00007
AGC100012333-SJCDW00020,3.65,DO,11/13/2018,MG/L,=,0,37.79028,-121.24819,UNK,,,,AGLAND,SJCDW00020,SJCDW00020
AGC100012333-SJCDW00058,10.33,DO,10/25/2018,MG/L,=,0,38.09991,-121.21511,UNK,,,,AGLAND,SJCDW00058,SJCDW00058
TRLK-03,0.5,DO,3/3/2016,MG/L,,UNK,37.59861111,-120.8536667,MUNICIPAL,497,230,230,USGS,TRLK-03,TRLK-03
CGOLD-09,1.1,DO,5/17/2006,MG/L,,UNK,37.12352778,-119.8738333,MUNICIPAL,1027,70,957,USGS,CGOLD-09,CGOLD-09
CGOLD-10,1.5,DO,5/18/2006,MG/L,,UNK,37.27783333,-119.6231667,MUNICIPAL,1025,50,975,USGS,CGOLD-10,CGOLD-10
CGOLD-11,0.2,DO,5/18/2006,MG/L,<,UNK,37.26341667,-119.6961111,MUNICIPAL,0,0,0,USGS,CGOLD-11,CGOLD-11
CGOLD-13,8.4,DO,5/23/2006,MG/L,,UNK,37.20883333,-119.7807222,MUNICIPAL,302,60,242,USGS,CGOLD-13,CGOLD-13
MERMW-02,5.6,DO,3/27/2006,MG/L,,UNK,37.36837222,-120.6384972,MUNICIPAL,148,138,5,USGS,MERMW-02,MERMW-02
CGOLD-17,2.2,DO,5/25/2006,MG/L,,UNK,37.25186111,-119.7921389,MUNICIPAL,300,200,100,USGS,CGOLD-17,CGOLD-17
ESJMW-01,3.4,DO,2/1/2005,MG/L,,UNK,38.00119444,-121.2683611,MUNICIPAL,530,500,20,USGS,ESJMW-01,ESJMW-01
CE-QPC-01,7.2,DO,3/20/2006,MG/L,,UNK,37.75711111,-120.7992778,MUNICIPAL,280,0,0,USGS,CE-QPC-01,CE-QPC-01
