WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
AGL020007267-WELL_2,11740,FE,4/2/2018,UG/L,=,25,37.16803,-121.04,UNK,,,,AGLAND,WELL_2,WELL_2
3910008-002,50,FE,5/25/1993,UG/L,<,UNK,38.1614589,-121.166848,MUNICIPAL,,126,128,DHS,3910008-002,WELL 02
3901282-003,100,FE,1/9/2019,UG/L,<,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3901282-003,50,FE,1/9/2008,UG/L,<,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3901282-003,50,FE,1/5/2006,UG/L,<,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3901282-009,50,FE,8/5/2009,UG/L,<,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3410011-015,112,FE,9/13/2000,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,172.6,FE,8/26/1999,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,178.9,FE,6/19/1996,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,154.1,FE,11/25/1998,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,165.8,FE,8/30/1995,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,242.1,FE,2/1/1996,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,251,FE,11/29/1995,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,259.9,FE,8/25/1993,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,338.3,FE,10/20/1999,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,340.1,FE,5/25/1994,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,433.3,FE,3/26/1997,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,487.7,FE,4/28/1994,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,872.2,FE,11/24/1993,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3901217-001,50,FE,7/18/2011,UG/L,<,UNK,38.4511919,-121.206464,MUNICIPAL,,0,0,DHS,3901217-001,WELL
3410011-011,134.1,FE,2/28/1995,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,175,DHS,3410011-011,WELL 11 - CREEKSIDE - RAW
3410011-011,120.1,FE,3/30/1994,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,175,DHS,3410011-011,WELL 11 - CREEKSIDE - RAW
3410011-011,179.4,FE,7/28/1999,UG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,175,DHS,3410011-011,WELL 11 - CREEKSIDE - RAW
