WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
AGC100012331-ESJQC00003,22,MG,10/31/2018,MG/L,=,0.05,37.60311,-121.04785,UNK,,,,AGLAND,ESJQC00003,ESJQC00003
AGC100012334-WSJRC00009,55,MG,12/13/2018,MG/L,=,0.1,37.1735,-120.9954,UNK,,52,60,AGLAND,WSJRC00009,WSJRC00009
3910008-002,10,MG,5/25/1993,MG/L,,UNK,38.1614589,-121.166848,MUNICIPAL,,126,128,DHS,3910008-002,WELL 02
3901282-003,5,MG,1/3/2018,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3901282-003,8,MG,8/5/2009,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3900561-007,5,MG,5/12/2004,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,0,10,DHS,3900561-007,WELL #2
3901282-009,5,MG,1/9/2019,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3901282-009,5,MG,1/4/2017,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3901282-009,7,MG,1/9/2008,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3410011-015,7.7,MG,4/3/1996,MG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3400181-001,13,MG,7/16/2012,MG/L,,UNK,38.4511919,-121.206464,MUNICIPAL,,0,10,DHS,3400181-001,MAIN WELL -FRONT
3900839-007,10,MG,8/27/2007,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,360,80,DHS,3900839-007,MAIN WELL
3910004-029,3.7,MG,8/13/2003,MG/L,,UNK,38.1324856,-121.24608,MUNICIPAL,,140,322,DHS,3910004-029,WELL NO. 11R
3900504-008,8,MG,2/11/2019,MG/L,,UNK,38.1904322,-121.087616,MUNICIPAL,,,,DHS,3900504-008,WELL #2
3400181-002,11,MG,6/1/2015,MG/L,,UNK,38.4511919,-121.206464,MUNICIPAL,,0,10,DHS,3400181-002,WELL NUMBER 2 - BACK
3400181-002,11,MG,6/4/2018,MG/L,,UNK,38.4511919,-121.206464,MUNICIPAL,,0,10,DHS,3400181-002,WELL NUMBER 2 - BACK
3400181-002,11,MG,7/16/2012,MG/L,,UNK,38.4511919,-121.206464,MUNICIPAL,,0,10,DHS,3400181-002,WELL NUMBER 2 - BACK
3910017-007,30.299,MG,1/26/1984,MG/L,,UNK,38.1614589,-121.325312,MUNICIPAL,,131,60,DHS,3910017-007,WELL 07
3900837-001,19.5,MG,2/22/2006,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3900837-001,WELL
3910017-008,9.9,MG,3/27/1989,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,120,150,DHS,3910017-008,WELL 08
3910017-008,16,MG,3/24/1993,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,120,150,DHS,3910017-008,WELL 08
3910017-008,16,MG,12/18/1995,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,120,150,DHS,3910017-008,WELL 08
3910017-008,10,MG,12/8/2004,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,120,150,DHS,3910017-008,WELL 08
3910004-010,6.6,MG,8/28/1984,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,,,DHS,3910004-010,WELL 07A - DESTROYED
2010002-025,6.5,MG,2/18/2016,MG/L,,UNK,36.9445803,-120.097216,MUNICIPAL,,430,290,DHS,2010002-025,WELL 30 - RAW
2400071-001,8.6,MG,5/16/2012,MG/L,,UNK,37.4371264,-120.572608,MUNICIPAL,,0,0,DHS,2400071-001,WELL 1-250 FT N. OF GYMNASIUM
2410001-019,2.6,MG,2/19/2009,MG/L,,UNK,37.3791798,-120.612224,MUNICIPAL,,485,175,DHS,2410001-019,WELL 19
2410001-019,4.7,MG,3/26/2003,MG/L,,UNK,37.3791798,-120.612224,MUNICIPAL,,485,175,DHS,2410001-019,WELL 19
2010010-001,4.2,MG,2/11/2010,MG/L,,UNK,37.0025269,-120.097216,MUNICIPAL,,0,300,DHS,2010010-001,WELL 01
2010010-001,4.7,MG,1/15/2016,MG/L,,UNK,37.0025269,-120.097216,MUNICIPAL,,0,300,DHS,2010010-001,WELL 01
2410008-004,9.8,MG,2/12/2002,MG/L,,UNK,37.3212332,-120.532992,MUNICIPAL,,0,101,DHS,2410008-004,WELL 04
2410008-004,11,MG,5/29/2008,MG/L,,UNK,37.3212332,-120.532992,MUNICIPAL,,0,101,DHS,2410008-004,WELL 04
2410009-022,7.2,MG,5/16/2002,MG/L,,UNK,37.3212332,-120.45376,MUNICIPAL,,0,135,DHS,2410009-022,WELL 07C
2410009-022,9,MG,1/26/2011,MG/L,,UNK,37.3212332,-120.45376,MUNICIPAL,,0,135,DHS,2410009-022,WELL 07C
2410009-022,7,MG,12/20/1995,MG/L,,UNK,37.3212332,-120.45376,MUNICIPAL,,0,135,DHS,2410009-022,WELL 07C
2410009-022,9.4,MG,1/9/2014,MG/L,,UNK,37.3212332,-120.45376,MUNICIPAL,,0,135,DHS,2410009-022,WELL 07C
5010021-008,8,MG,2/7/2005,MG/L,,UNK,37.5240463,-120.770688,MUNICIPAL,,185,100,DHS,5010021-008,WELL 08
2010002-022,13,MG,2/25/1998,MG/L,,UNK,36.9445803,-120.0576,MUNICIPAL,,0,410,DHS,2010002-022,WELL 27 - RAW - INACTIVE
5010006-005,9.9,MG,8/19/2004,MG/L,,UNK,37.6399395,-120.770688,MUNICIPAL,,152,85,DHS,5010006-005,WELL NO. 302
5010006-005,11.5,MG,4/19/2017,MG/L,,UNK,37.6399395,-120.770688,MUNICIPAL,,152,85,DHS,5010006-005,WELL NO. 302
5010006-005,12,MG,8/16/2001,MG/L,,UNK,37.6399395,-120.770688,MUNICIPAL,,152,85,DHS,5010006-005,WELL NO. 302
5010008-007,3,MG,10/8/2009,MG/L,,UNK,37.6109662,-120.84992,MUNICIPAL,,,,DHS,5010008-007,WELL 06 - INACTIVE
5010008-007,3,MG,3/13/2008,MG/L,,UNK,37.6109662,-120.84992,MUNICIPAL,,,,DHS,5010008-007,WELL 06 - INACTIVE
5010008-007,3,MG,12/21/2006,MG/L,,UNK,37.6109662,-120.84992,MUNICIPAL,,,,DHS,5010008-007,WELL 06 - INACTIVE
5000067-001,5.7,MG,6/15/2010,MG/L,,UNK,37.7268594,-121.008384,MUNICIPAL,,330,20,DHS,5000067-001,WELL 03
2000855-002,18.6,MG,3/23/2015,MG/L,,UNK,36.915607,-120.0576,MUNICIPAL,,0,75,DHS,2000855-002,SOURCE MAIN WELL
5010018-002,6.8,MG,3/11/1986,MG/L,,UNK,37.7268594,-120.929152,MUNICIPAL,,0,68,DHS,5010018-002,WELL 02
5010018-002,8.4,MG,10/12/2010,MG/L,,UNK,37.7268594,-120.929152,MUNICIPAL,,0,68,DHS,5010018-002,WELL 02
2410010-014,4.1,MG,2/5/1997,MG/L,,UNK,37.4081531,-120.572608,MUNICIPAL,,525,125,DHS,2410010-014,WELL 15
2410010-014,4.6,MG,2/28/2003,MG/L,,UNK,37.4081531,-120.572608,MUNICIPAL,,525,125,DHS,2410010-014,WELL 15
2010002-019,4.3,MG,2/28/2014,MG/L,,UNK,36.9735536,-120.0576,MUNICIPAL,,0,560,DHS,2010002-019,WELL 23 - RAW
2010002-019,4.5,MG,11/20/2008,MG/L,,UNK,36.9735536,-120.0576,MUNICIPAL,,0,560,DHS,2010002-019,WELL 23 - RAW
2010002-019,4.8,MG,11/22/1996,MG/L,,UNK,36.9735536,-120.0576,MUNICIPAL,,0,560,DHS,2010002-019,WELL 23 - RAW
