WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
AGC100012331-ESJQC00012,6.82,PH,10/30/2018,PH UNITS,=,0,36.92869,-120.0916,UNK,,,,AGLAND,ESJQC00012,ESJQC00012
AGC100012334-WSJRC00014,7.9,PH,12/5/2018,PH UNITS,=,0.1,37.0896994,-120.6568026,UNK,,60,120,AGLAND,WSJRC00014,WSJRC00014
AGC100012333-SJCDW00020,7.4,PH,11/13/2018,PH UNITS,=,0,37.79028,-121.24819,UNK,,,,AGLAND,SJCDW00020,SJCDW00020
AGC100012333-SJCDW00058,7.32,PH,10/25/2018,PH UNITS,=,0,38.09991,-121.21511,UNK,,,,AGLAND,SJCDW00058,SJCDW00058
AGC100012334-WSJRC00013,7.6,PH,12/5/2018,PH UNITS,=,0.1,37.1607829,-120.7580362,UNK,,80,100,AGLAND,WSJRC00013,WSJRC00013
AGC100012333-SJCDW00025,7.69,PH,10/23/2018,PH UNITS,=,0,37.76053,-121.14317,UNK,,,,AGLAND,SJCDW00025,SJCDW00025
AGC100012333-SJCDW00013,7.43,PH,11/5/2018,PH UNITS,=,0,37.9446,-121.16403,UNK,,,,AGLAND,SJCDW00013,SJCDW00013
AGC100012335-GDACX00004,7.9,PH,11/26/2018,PH UNITS,=,0.1,36.8940845,-120.7929751,UNK,,50,90,AGLAND,GDACX00004,GDACX00004
AGC100012331-ESJQC00010,7.06,PH,10/30/2018,PH UNITS,=,0,37.21438,-120.535,UNK,,,,AGLAND,ESJQC00010,ESJQC00010
04N06E16R007M,7.5,PH,8/21/1969,PH UNITS,=,UNK,38.1867,-121.3146,UNK,,,,DWR,04N06E16R007M,04N06E16R007M
04N06E16R007M,8.2,PH,7/5/1977,PH UNITS,=,UNK,38.1867,-121.3146,UNK,,,,DWR,04N06E16R007M,04N06E16R007M
04N06E16R007M,8.3,PH,6/12/1979,PH UNITS,=,UNK,38.1867,-121.3146,UNK,,,,DWR,04N06E16R007M,04N06E16R007M
04N07E32N001M,7.9,PH,5/18/1959,PH UNITS,=,UNK,38.1433,-121.2368,UNK,,,,DWR,04N07E32N001M,04N07E32N001M
05N08E26P001M,7.9,PH,7/5/1977,PH UNITS,=,UNK,38.2486,-121.0683,UNK,,,,DWR,05N08E26P001M,05N08E26P001M
05N08E26P001M,7.9,PH,7/15/1983,PH UNITS,=,UNK,38.2486,-121.0683,UNK,,,,DWR,05N08E26P001M,05N08E26P001M
05N08E26P001M,8.3,PH,7/2/1973,PH UNITS,=,UNK,38.2486,-121.0683,UNK,,,,DWR,05N08E26P001M,05N08E26P001M
06N07E23A001M,7.9,PH,6/12/1974,PH UNITS,=,UNK,38.3564,-121.1681,UNK,,,,DWR,06N07E23A001M,06N07E23A001M
07N07E27P001M,8.1,PH,8/18/1959,PH UNITS,=,UNK,38.4252,-121.1997,UNK,180,,,DWR,07N07E27P001M,07N07E27P001M
07N07E27P001M,7.2,PH,8/10/1955,PH UNITS,=,UNK,38.4252,-121.1997,UNK,180,,,DWR,07N07E27P001M,07N07E27P001M
07N07E33G001M,7.5,PH,6/18/1975,PH UNITS,=,UNK,38.4182,-121.2122,UNK,180,,,DWR,07N07E33G001M,07N07E33G001M
03S09E07M001M,7.8,PH,10/7/1947,PH UNITS,=,UNK,37.6885,-121.0274,UNK,,,,DWR,03S09E07M001M,03S09E07M001M
03S08E04M001M,7.8,PH,8/12/1953,PH UNITS,=,UNK,37.7035,-121.1035,UNK,372,146,100,DWR,03S08E04M001M,03S08E04M001M
03S07E23H001M,8.4,PH,8/10/1966,PH UNITS,=,UNK,37.6608,-121.1591,UNK,,,,DWR,03S07E23H001M,03S07E23H001M
04S10E01D001M,8.4,PH,9/15/1957,PH UNITS,=,UNK,37.6223,-120.8284,UNK,,,,DWR,04S10E01D001M,04S10E01D001M
11S18E20E001M,7.8,PH,8/7/1963,PH UNITS,=,UNK,36.9626,-120.0389,UNK,,,,DWR,11S18E20E001M,11S18E20E001M
03S09E09P001M,8.1,PH,6/10/1966,PH UNITS,=,UNK,37.6841,-120.9855,UNK,,,,DWR,03S09E09P001M,03S09E09P001M
08S08E27B001M,8.2,PH,8/2/1966,PH UNITS,=,UNK,37.2138,-121.076,UNK,,,,DWR,08S08E27B001M,08S08E27B001M
03S08E18K001M,8.2,PH,5/19/1975,PH UNITS,=,UNK,37.6724,-121.1316,UNK,,,,DWR,03S08E18K001M,03S08E18K001M
09S16E35N001M,8.1,PH,7/21/1959,PH UNITS,=,UNK,37.0997,-120.2021,UNK,,,,DWR,09S16E35N001M,09S16E35N001M
02S09E19B002M,7.4,PH,7/22/1971,PH UNITS,=,UNK,37.7549,-121.0219,UNK,305,175,15,DWR,02S09E19B002M,02S09E19B002M
02S09E19B002M,8.1,PH,6/13/1979,PH UNITS,=,UNK,37.7549,-121.0219,UNK,305,175,15,DWR,02S09E19B002M,02S09E19B002M
02S09E19B002M,8.2,PH,6/23/1977,PH UNITS,=,UNK,37.7549,-121.0219,UNK,305,175,15,DWR,02S09E19B002M,02S09E19B002M
02S09E19B002M,8.2,PH,6/20/1989,PH UNITS,=,UNK,37.7549,-121.0219,UNK,305,175,15,DWR,02S09E19B002M,02S09E19B002M
12S20E18B002M,7.3,PH,12/5/1972,PH UNITS,=,UNK,36.893,-119.8288,UNK,,,,DWR,12S20E18B002M,12S20E18B002M
06S07E15G001M,7.5,PH,6/29/1967,PH UNITS,=,UNK,37.4135,-121.1909,UNK,,,,DWR,06S07E15G001M,06S07E15G001M
06S13E32P001M,7.3,PH,4/3/1967,PH UNITS,=,UNK,37.3617,-120.5709,UNK,,,,DWR,06S13E32P001M,06S13E32P001M
03S11E34D080M,7.7,PH,8/29/1956,PH UNITS,=,UNK,37.6367,-120.7549,UNK,,,,DWR,03S11E34D080M,03S11E34D080M
06S12E23H001M,8.1,PH,7/15/1965,PH UNITS,=,UNK,37.3994,-120.6149,UNK,,,,DWR,06S12E23H001M,06S12E23H001M
12S17E24H001M,8.1,PH,8/7/1963,PH UNITS,=,UNK,36.8766,-120.0565,UNK,,,,DWR,12S17E24H001M,12S17E24H001M
12S17E24H001M,7.7,PH,7/25/1960,PH UNITS,=,UNK,36.8766,-120.0565,UNK,,,,DWR,12S17E24H001M,12S17E24H001M
12S17E24H001M,7.8,PH,5/7/1985,PH UNITS,=,UNK,36.8766,-120.0565,UNK,,,,DWR,12S17E24H001M,12S17E24H001M
04S09E01C001M,7.8,PH,10/4/1966,PH UNITS,=,UNK,37.6222,-120.9338,UNK,,,,DWR,04S09E01C001M,04S09E01C001M
04S09E02J080M,7.5,PH,8/29/1956,PH UNITS,=,UNK,37.6151,-120.9429,UNK,,,,DWR,04S09E02J080M,04S09E02J080M
06S12E08D001M,7.7,PH,8/31/1960,PH UNITS,=,UNK,37.4304,-120.6844,UNK,,,,DWR,06S12E08D001M,06S12E08D001M
03S09E28C001M,7.6,PH,12/27/1951,PH UNITS,=,UNK,37.6505,-120.9869,UNK,,,,DWR,03S09E28C001M,03S09E28C001M
12S19E12R001M,7.6,PH,6/9/1965,PH UNITS,=,UNK,36.8977,-119.844,UNK,,,,DWR,12S19E12R001M,12S19E12R001M
03S08E17R001M,8.4,PH,7/20/1959,PH UNITS,=,UNK,37.668,-121.1049,UNK,80,,,DWR,03S08E17R001M,03S08E17R001M
03S08E17R001M,8.6,PH,8/9/1966,PH UNITS,=,UNK,37.668,-121.1049,UNK,80,,,DWR,03S08E17R001M,03S08E17R001M
06S13E32P002M,7.5,PH,11/29/1962,PH UNITS,=,UNK,37.3617,-120.5709,UNK,,,,DWR,06S13E32P002M,06S13E32P002M
06S13E32P002M,7.8,PH,11/26/1952,PH UNITS,=,UNK,37.3617,-120.5709,UNK,,,,DWR,06S13E32P002M,06S13E32P002M
03S08E09P001M,7.5,PH,7/11/1957,PH UNITS,=,UNK,37.6852,-121.0974,UNK,124,79,21,DWR,03S08E09P001M,03S08E09P001M
03S09E08K001M,7.7,PH,5/21/1975,PH UNITS,=,UNK,37.6858,-121.0008,UNK,,,,DWR,03S09E08K001M,03S09E08K001M
04S10E10F001M,8.2,PH,7/15/1966,PH UNITS,=,UNK,37.6043,-120.8607,UNK,,,,DWR,04S10E10F001M,04S10E10F001M
02S11E04K001M,8.6,PH,2/3/1965,PH UNITS,=,UNK,37.7879,-120.7617,UNK,,,,DWR,02S11E04K001M,02S11E04K001M
02S10E27H001M,7.9,PH,5/29/1964,PH UNITS,=,UNK,37.7355,-120.8516,UNK,475,310,135,DWR,02S10E27H001M,02S10E27H001M
02S10E27H001M,8.5,PH,9/15/1957,PH UNITS,=,UNK,37.7355,-120.8516,UNK,475,310,135,DWR,02S10E27H001M,02S10E27H001M
06S13E31F001M,7.9,PH,7/12/1961,PH UNITS,=,UNK,37.3686,-120.5846,UNK,,,,DWR,06S13E31F001M,06S13E31F001M
03S09E29B001M,8.2,PH,8/3/1939,PH UNITS,=,UNK,37.651,-120.9994,UNK,,,,DWR,03S09E29B001M,03S09E29B001M
10S17E09F080M,7.9,PH,8/26/1975,PH UNITS,=,UNK,37.078,-120.1251,UNK,,,,DWR,10S17E09F080M,10S17E09F080M
06S13E32N001M,7.7,PH,11/16/1961,PH UNITS,=,UNK,37.3617,-120.5754,UNK,,,,DWR,06S13E32N001M,06S13E32N001M
03S09E17D001M,7.8,PH,5/21/1964,PH UNITS,=,UNK,37.6819,-121.0119,UNK,,,,DWR,03S09E17D001M,03S09E17D001M
06S14E32D001M,7.8,PH,7/15/1965,PH UNITS,=,UNK,37.3725,-120.4663,UNK,,,,DWR,06S14E32D001M,06S14E32D001M
03S09E19C001M,7.8,PH,5/21/1975,PH UNITS,=,UNK,37.6658,-121.0222,UNK,,,,DWR,03S09E19C001M,03S09E19C001M
09S08E26Q080M,8.2,PH,6/20/1967,PH UNITS,=,UNK,37.1141,-121.0635,UNK,,,,DWR,09S08E26Q080M,09S08E26Q080M
03S08E09C001M,8.3,PH,7/13/1962,PH UNITS,=,UNK,37.6944,-121.0955,UNK,,,,DWR,03S08E09C001M,03S08E09C001M
