WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
AGC100012331-ESJQC00008,330,TDS,10/30/2018,MG/L,=,10,37.31789,-120.4315,UNK,,,,AGLAND,ESJQC00008,ESJQC00008
AGC100012331-ESJQC00007,180,TDS,10/31/2018,MG/L,=,10,37.33116,-120.73436,UNK,,,,AGLAND,ESJQC00007,ESJQC00007
AGC100012334-WSJRC00018,380,TDS,12/11/2018,MG/L,=,10,36.8696407,-120.4570101,UNK,,86,150,AGLAND,WSJRC00018,WSJRC00018
AGC100012335-GDACX00002,2600,TDS,11/29/2018,MG/L,=,10,36.91044,-120.65553,UNK,,200,20,AGLAND,GDACX00002,GDACX00002
AGL020007267-WELL_2,382.2,TDS,4/2/2018,MG/L,=,1,37.16803,-121.04,UNK,,,,AGLAND,WELL_2,WELL_2
3910008-002,350,TDS,1/29/1996,MG/L,,UNK,38.1614589,-121.166848,MUNICIPAL,,126,128,DHS,3910008-002,WELL 02
3901282-003,120,TDS,4/7/2005,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3901282-003,140,TDS,1/3/2018,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3901282-003,160,TDS,1/4/2017,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3901282-003,WELL #3
3900561-007,130,TDS,5/7/2013,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,0,10,DHS,3900561-007,WELL #2
3901282-009,120,TDS,1/4/2012,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3901282-009,130,TDS,1/3/2018,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3901282-009,130,TDS,1/9/2019,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3901282-009,150,TDS,2/3/2016,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,,,DHS,3901282-009,WELL #4
3410011-015,200,TDS,9/26/2001,MG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3410011-015,170,TDS,12/13/2006,MG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,149,DHS,3410011-015,WELL 14 - GATEWAY - RAW
3901217-001,190,TDS,7/25/2005,MG/L,,UNK,38.4511919,-121.206464,MUNICIPAL,,0,0,DHS,3901217-001,WELL
3901217-001,200,TDS,7/18/2017,MG/L,,UNK,38.4511919,-121.206464,MUNICIPAL,,0,0,DHS,3901217-001,WELL
3410011-011,170,TDS,7/21/2009,MG/L,,UNK,38.2483788,-121.285696,MUNICIPAL,,0,175,DHS,3410011-011,WELL 11 - CREEKSIDE - RAW
3900839-007,200,TDS,8/27/2007,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,360,80,DHS,3900839-007,MAIN WELL
3400103-001,210,TDS,6/26/2013,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,0,DHS,3400103-001,MAIN WELL
3910004-029,120,TDS,8/23/2006,MG/L,,UNK,38.1324856,-121.24608,MUNICIPAL,,140,322,DHS,3910004-029,WELL NO. 11R
3910004-029,150,TDS,8/23/2000,MG/L,,UNK,38.1324856,-121.24608,MUNICIPAL,,140,322,DHS,3910004-029,WELL NO. 11R
3901092-001,140,TDS,11/25/2002,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,910,80,DHS,3901092-001,WELL#1 (MAIN WELL)
3901092-001,150,TDS,11/9/2005,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,910,80,DHS,3901092-001,WELL#1 (MAIN WELL)
0300078-003,370,TDS,3/31/2014,MG/L,,UNK,38.3063254,-120.968768,MUNICIPAL,,,,DHS,0300078-003,IONE BAND WELL 003 - RAW
3901394-001,250,TDS,1/15/2009,MG/L,,UNK,38.1614589,-121.24608,MUNICIPAL,,0,10,DHS,3901394-001,WELL
3910017-007,640,TDS,3/24/1993,MG/L,,UNK,38.1614589,-121.325312,MUNICIPAL,,131,60,DHS,3910017-007,WELL 07
3910017-008,240,TDS,12/18/1995,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,120,150,DHS,3910017-008,WELL 08
3910004-010,130,TDS,8/25/1987,MG/L,,UNK,38.1614589,-121.285696,MUNICIPAL,,,,DHS,3910004-010,WELL 07A - DESTROYED
5010010-048,240,TDS,3/5/1997,MG/L,,UNK,37.6689128,-120.929152,MUNICIPAL,,149,145,DHS,5010010-048,WELL 046
3910300-002,179,TDS,7/20/1984,MG/L,,UNK,37.6978861,-121.166848,MUNICIPAL,,68,32,DHS,3910300-002,WELL NO. 02
2010002-025,190,TDS,2/18/2016,MG/L,,UNK,36.9445803,-120.097216,MUNICIPAL,,430,290,DHS,2010002-025,WELL 30 - RAW
5000433-004,122,TDS,4/15/2003,MG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,0,100,DHS,5000433-004,HILLSBOROUGH ESTATES WELL NO. 01
5000433-004,203,TDS,2/15/2017,MG/L,,UNK,37.784806,-120.810304,MUNICIPAL,,0,100,DHS,5000433-004,HILLSBOROUGH ESTATES WELL NO. 01
2410700-005,162,TDS,1/24/1989,MG/L,,UNK,37.3791798,-120.572608,MUNICIPAL,,,,DHS,2410700-005,WELL #5
5000141-004,374,TDS,3/17/2015,MG/L,,UNK,37.6978861,-121.008384,MUNICIPAL,,50,180,DHS,5000141-004,WELL #3  (COLD STORAGE)
2410001-019,230,TDS,12/7/2015,MG/L,,UNK,37.3791798,-120.612224,MUNICIPAL,,485,175,DHS,2410001-019,WELL 19
2410001-019,230,TDS,3/26/2003,MG/L,,UNK,37.3791798,-120.612224,MUNICIPAL,,485,175,DHS,2410001-019,WELL 19
2410001-019,230,TDS,2/19/2009,MG/L,,UNK,37.3791798,-120.612224,MUNICIPAL,,485,175,DHS,2410001-019,WELL 19
5010010-115,260,TDS,3/10/2009,MG/L,,UNK,37.6399395,-120.889536,MUNICIPAL,,,,DHS,5010010-115,WELL 312
2410009-022,190,TDS,7/21/1999,MG/L,,UNK,37.3212332,-120.45376,MUNICIPAL,,0,135,DHS,2410009-022,WELL 07C
2010002-022,270,TDS,6/12/1997,MG/L,,UNK,36.9445803,-120.0576,MUNICIPAL,,0,410,DHS,2010002-022,WELL 27 - RAW - INACTIVE
