WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
3400139-001,3.55,U,8/11/2005,pCi/L,,UNK,38.4222186,-121.285696,MUNICIPAL,,155,150,DHS,3400139-001,MAIN WELL
3400139-001,6.7,U,11/18/2005,pCi/L,,UNK,38.4222186,-121.285696,MUNICIPAL,,155,150,DHS,3400139-001,MAIN WELL
3910004-029,0,U,2/18/2005,pCi/L,<,UNK,38.1324856,-121.24608,MUNICIPAL,,140,322,DHS,3910004-029,WELL NO. 11R
3400229-001,0.7,U,3/24/2006,pCi/L,<,UNK,38.2194055,-121.008384,MUNICIPAL,,0,27,DHS,3400229-001,MAIN WELL G-14
3400229-001,2,U,11/22/2005,pCi/L,<,UNK,38.2194055,-121.008384,MUNICIPAL,,0,27,DHS,3400229-001,MAIN WELL G-14
3400229-001,2,U,3/24/2006,pCi/L,<,UNK,38.2194055,-121.008384,MUNICIPAL,,0,27,DHS,3400229-001,MAIN WELL G-14
3400229-001,2,U,5/11/2006,pCi/L,<,UNK,38.2194055,-121.008384,MUNICIPAL,,0,27,DHS,3400229-001,MAIN WELL G-14
3910017-007,16,U,1/24/1997,pCi/L,,UNK,38.1614589,-121.325312,MUNICIPAL,,131,60,DHS,3910017-007,WELL 07
5010010-048,1,U,12/1/1989,pCi/L,,UNK,37.6689128,-120.929152,MUNICIPAL,,149,145,DHS,5010010-048,WELL 046
5010010-048,4.5,U,6/30/2005,pCi/L,,UNK,37.6689128,-120.929152,MUNICIPAL,,149,145,DHS,5010010-048,WELL 046
5010010-048,6.21,U,10/7/2004,pCi/L,,UNK,37.6689128,-120.929152,MUNICIPAL,,149,145,DHS,5010010-048,WELL 046
5010010-234,1.1,U,1/22/2008,pCi/L,,UNK,37.6689128,-120.929152,MUNICIPAL,,,,DHS,5010010-234,WELL 62
5010010-234,1.5,U,4/17/2007,pCi/L,,UNK,37.6689128,-120.929152,MUNICIPAL,,,,DHS,5010010-234,WELL 62
2010002-025,0.16,U,8/30/1996,pCi/L,,UNK,36.9445803,-120.097216,MUNICIPAL,,430,290,DHS,2010002-025,WELL 30 - RAW
2400071-001,2.5,U,2/11/2010,pCi/L,,UNK,37.4371264,-120.572608,MUNICIPAL,,0,0,DHS,2400071-001,WELL 1-250 FT N. OF GYMNASIUM
5010006-005,0,U,3/10/2005,pCi/L,<,UNK,37.6399395,-120.770688,MUNICIPAL,,152,85,DHS,5010006-005,WELL NO. 302
5010006-005,0.6,U,3/26/1992,pCi/L,,UNK,37.6399395,-120.770688,MUNICIPAL,,152,85,DHS,5010006-005,WELL NO. 302
5010006-005,1,U,12/16/1992,pCi/L,,UNK,37.6399395,-120.770688,MUNICIPAL,,152,85,DHS,5010006-005,WELL NO. 302
2000855-002,1.5,U,5/25/2017,pCi/L,,UNK,36.915607,-120.0576,MUNICIPAL,,0,75,DHS,2000855-002,SOURCE MAIN WELL
2410011-002,1.41,U,9/30/2004,pCi/L,,UNK,37.2343133,-120.25568,MUNICIPAL,,240,160,DHS,2410011-002,WELL 01A
2000507-001,0.71,U,9/14/2006,pCi/L,,UNK,37.0315002,-120.136832,MUNICIPAL,,372,0,DHS,2000507-001,SOURCE MAIN WELL
5000141-001,3.1,U,4/15/2008,pCi/L,,UNK,37.6978861,-120.889536,MUNICIPAL,,50,180,DHS,5000141-001,WELL 4
5010029-002,0,U,2/3/2016,pCi/L,<,UNK,37.7558327,-121.008384,MUNICIPAL,,139,132,DHS,5010029-002,WELL 282 - DEL RIO
5010029-002,0,U,6/14/2001,pCi/L,<,UNK,37.7558327,-121.008384,MUNICIPAL,,139,132,DHS,5010029-002,WELL 282 - DEL RIO
5010029-002,0,U,3/10/2005,pCi/L,<,UNK,37.7558327,-121.008384,MUNICIPAL,,139,132,DHS,5010029-002,WELL 282 - DEL RIO
5010029-002,0,U,6/14/2005,pCi/L,<,UNK,37.7558327,-121.008384,MUNICIPAL,,139,132,DHS,5010029-002,WELL 282 - DEL RIO
